ma_san_pham,hinh_anh
207500001,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-bo-2-hop-bong-tay-trang-co-ban-silcot-82-mieng-hop-1709017817_img_380x380_64adc6_fit_center.jpg
308500004,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-308500004-1697790866_img_380x380_64adc6_fit_center.png
422204259,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422204259-1695788175_img_380x380_64adc6_fit_center.png
422209048,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422209048-1705040255_img_380x380_64adc6_fit_center.jpg
100160022,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-chong-nang-vichy-thoang-nhe-khong-bong-dau-spf-50-50ml-1721901930_img_380x380_64adc6_fit_center.jpg
100230064,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-tay-trang-bioderma-danh-cho-da-dau-hon-hop-250ml-1690274453_img_380x380_64adc6_fit_center.jpg
422208976,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-cerave-cho-da-thuong-den-kho-88ml_1pNdRtvxzbtxnYao_img_380x380_64adc6_fit_center.png
422211446,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422211446-1695723623_img_380x380_64adc6_fit_center.png
249500027,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-tinh-chat-chong-nang-sunplay-hieu-chinh-sac-da-50g-xanh_CUbHiibbg9EHfWy2_img_380x380_64adc6_fit_center.png
100230057,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-tay-trang-bioderma-danh-cho-da-nhay-cam-250ml-1716969128_img_380x380_64adc6_fit_center.jpg
343700002,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-343700002-1692850849_img_380x380_64adc6_fit_center.jpg
422208974,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-cerave-tao-bot-cho-da-thuong-den-da-dau-88ml_3NaJxeDYByoRWAVo_img_380x380_64adc6_fit_center.png
205100136,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-205100136-1695896221_img_380x380_64adc6_fit_center.png
204900004,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-gel-rua-mat-tao-bot-la-roche-posay-danh-cho-da-dau-nhay-cam-200ml-1716603223_img_380x380_64adc6_fit_center.jpg
245500009,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-tay-te-bao-chet-rosette-cho-moi-loai-da-180g-1724056207_img_380x380_64adc6_fit_center.jpg
422206648,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422206648-1695785208_img_380x380_64adc6_fit_center.png
204100018,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-duong-eucerin-lam-giam-tham-mun-dau-thua-50ml_XtzCWPQagBzY5oK8_img_380x380_64adc6_fit_center.png
201600019,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-duong-chat-khoang-co-dac-vichy-mineral-89-phuc-hoi-bao-ve-da-50ml_zsJyttEHD3DTjHM9_img_380x380_64adc6_fit_center.png
422205164,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422205164-1697786852_img_380x380_64adc6_fit_center.jpg
200500293,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-200500293-1694422102_img_380x380_64adc6_fit_center.png
422216603,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422216603-1729573166_img_380x380_64adc6_fit_center.jpg
200400003,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-tay-trang-bioderma-danh-cho-da-nhay-cam-500ml-1716538823_img_380x380_64adc6_fit_center.jpg
318900002,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-318900002-1730426908_img_380x380_64adc6_fit_center.jpg
422212097,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422212097-1698739483_img_380x380_64adc6_fit_center.jpg
422204910,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-tay-trang-garnier-danh-cho-da-nhay-cam-400ml-1732335243_img_380x380_64adc6_fit_center.jpg
422202629,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422202629-1695977901_img_380x380_64adc6_fit_center.jpg
204900013,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-chong-nang-la-roche-posay-kiem-soat-dau-spf50-50ml-1716437865_img_380x380_64adc6_fit_center.jpg
422209262,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422209262-1689848055_img_380x380_64adc6_fit_center.jpg
205100146,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-205100146-1695896051_img_380x380_64adc6_fit_center.png
422208975,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422208975-1696325917_img_380x380_64adc6_fit_center.png
327500002,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-327500002-1695280654_img_380x380_64adc6_fit_center.png
422206537,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-rua-mat-eucerin-cho-da-nhon-mun-75ml_jkzjqVumbgqLUbm3_img_380x380_64adc6_fit_center.png
100150059,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-xit-khoang-cung-cap-nuoc-evoluderm-150ml-1698049653_img_380x380_64adc6_fit_center.jpg
422207414,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-sunplay-hieu-chinh-sac-da-50g-cam_7eudKHeSbqyiTeKu_img_380x380_64adc6_fit_center.png
422210980,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-3-gel-rua-mat-la-roche-posay-cho-da-dau-nhay-cam-50ml-1729259297_img_380x380_64adc6_fit_center.jpg
422205809,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422205809-1695269310_img_380x380_64adc6_fit_center.png
422200305,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-duong-am-neutrogena-cap-nuoc-cho-da-dang-gel-15g_zAHaQSfpJBLN8dk4_img_380x380_64adc6_fit_center.png
422203301,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-bong-tay-trang-mihoo-kokimi-bong-vuong-tui-240-mieng-1709715329_img_380x380_64adc6_fit_center.jpg
100220037,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-100220037-1695112269_img_380x380_64adc6_fit_center.png
100210020,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-tinh-chat-eucerin-ho-tro-giam-dom-nau-mo-vet-nam-5ml-dang-but-cham_DGx48sQiFgQNSH9g_img_380x380_64adc6_fit_center.png
206400009,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-206400009-1702958016_img_380x380_64adc6_fit_center.png
204100078,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-xit-duong-am-eucerin-cho-da-nhay-cam-150ml_qheRhAxpB1vdLGed_img_380x380_64adc6_fit_center.png
100230059,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-tay-trang-bioderma-danh-cho-da-dau-hon-hop-100ml-1690274725_img_380x380_64adc6_fit_center.jpg
223600032,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-duong-senka-giup-lam-mem-va-sang-da-200ml-1709528134_img_380x380_64adc6_fit_center.jpg
422208972,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422208972-1696582243_img_380x380_64adc6_fit_center.jpg
422217292,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-sua-chong-nang-sunplay-skin-aqua-duong-da-sang-min-25g_sWzNa3JqkhTsukkh_img_380x380_64adc6_fit_center.png
422205162,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422205162-1697787418_img_380x380_64adc6_fit_center.jpg
422205160,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422205160-1697788881_img_380x380_64adc6_fit_center.jpg
223600010,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-223600010-1698736613_img_380x380_64adc6_fit_center.jpg
204900159,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-gel-rua-mat-la-roche-posay-cho-da-dau-mun-50mlx4-1729259172_img_380x380_64adc6_fit_center.jpg
422202253,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422202253-1697789189_img_380x380_64adc6_fit_center.png
422211878,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-serum-skin1004-rau-ma-giam-mun-phuc-hoi-da-30ml-1720879807_img_380x380_64adc6_fit_center.jpg
318900012,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-318900012-1730367448_img_380x380_64adc6_fit_center.jpg
357100004,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-357100004-1695105665_img_380x380_64adc6_fit_center.png
422200342,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422200342-1690357643_img_380x380_64adc6_fit_center.png
331300002,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-rua-mat-curel-dang-bot-cap-am-chuyen-sau-150ml-1716800830_img_380x380_64adc6_fit_center.jpg
226200018,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-226200018-1699005413_img_380x380_64adc6_fit_center.jpg
422211276,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422211276-1728977682_img_380x380_64adc6_fit_center.jpg
422209841,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-mini-kem-duong-obagi-retinol-1-0-tre-hoa-da-ngua-mun-5g-1729244823_img_380x380_64adc6_fit_center.jpg
100180113,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-duong-bioderma-phuc-hoi-va-lam-diu-da-bi-kich-ung-40ml-1690274570_img_380x380_64adc6_fit_center.jpg
204100054,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-rua-mat-eucerin-cho-da-dau-mun-400ml_e3HCyBp9zDA9BYzi_img_380x380_64adc6_fit_center.png
249500028,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-chong-nang-sunplay-hieu-chinh-sac-da-50g-xanh-1711609278_img_380x380_64adc6_fit_center.jpg
365000013,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-365000013-1700817356_img_380x380_64adc6_fit_center.png
358300002,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-358300002-1702892911_img_380x380_64adc6_fit_center.png
318900011,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-318900011-1730426434_img_380x380_64adc6_fit_center.jpg
